,test_rmse,train_rmse,test_evs,train_evs,test_r2,train_r2
0,0.2585440736366211,0.2660354321074001,0.08005719789539179,0.08914494863491351,0.08002989391611448,0.08807375794892547
1,0.26524313617684575,0.26433788715177603,0.09152160836331014,0.08705843462773788,0.09070537301431858,0.08601568116759684
2,0.2713780786292286,0.26305582116613413,0.07823732075178769,0.09018125310981917,0.07183432464625072,0.08886672959835795
3,0.26577527144197766,0.26439759748511926,0.08511559819382286,0.08793916352020026,0.08125669448970241,0.08659152566250905
4,0.26218586948672945,0.265100805860477,0.10221595889129176,0.08423185227568053,0.1022159495942434,0.08270119472715798
0,0.25102883112344787,0.2574203301353757,0.13319065472746983,0.14926606322075409,0.13273514272593856,0.1461797815311513
1,0.25702181168161337,0.25583756597590157,0.14936408370895837,0.14685816342270952,0.14619975066403046,0.14385259425783004
2,0.2633496572412137,0.2544983504107337,0.13385718229088395,0.14963626144520759,0.12593950480053273,0.14718267342300773
3,0.26102702739756867,0.25559863988698506,0.12125319304862492,0.1497233974196891,0.1137913146301679,0.14637504169945303
4,0.2526567843840505,0.2567935018931196,0.16667616687705245,0.14225003870131991,0.16628953816439718,0.1392901132110954
0,0.24691918456520676,0.25194178195704303,0.16247891203436393,0.18526423713741869,0.16089905739036658,0.1821359057113069
1,0.2543911073669511,0.25020928835637357,0.16691284867178824,0.1845840133386515,0.16358816772326423,0.18110773056334084
2,0.26008102516929366,0.24886469570799075,0.15549977300137774,0.18747124952611716,0.14750210801248276,0.18452123864938763
3,0.25447229903744445,0.2509958218034788,0.16493269844121206,0.1803092522485178,0.1577401982239044,0.17684236322774605
4,0.24516800173470948,0.2518750689643364,0.21498957640407923,0.1739302564219326,0.21497968274877066,0.17194516599767273
0,0.24363678048708218,0.24632076209189882,0.18384439659333496,0.22088282216252353,0.1830598426481599,0.21822318245036287
1,0.25078392512264097,0.24501518534375097,0.19063344885175493,0.21831072935598106,0.18714008563389206,0.2147536633945928
2,0.2565321049866128,0.2430430180515583,0.1795150497236444,0.22496134474460827,0.17060879327802048,0.2222278808445468
3,0.2544139889596303,0.2444526716730902,0.16267691951218766,0.2215896873422274,0.1581261467766536,0.21920036116483776
4,0.24060408366980052,0.24651879688365205,0.24411405713286605,0.2094721798495276,0.24393469253532052,0.20678884868686698
0,0.24275303161631379,0.2441679123197929,0.1898354555724242,0.23505970066641002,0.1889757025741482,0.23182896287874577
1,0.2497401175900613,0.24281401983890463,0.19708628927321548,0.23174793669712823,0.19389254044669857,0.22879926711196197
2,0.2534726243314344,0.24137016817081908,0.1986532777658877,0.23520928826399612,0.1902739717375137,0.23289774765259108
3,0.2530236512002152,0.24215671244032802,0.17180454173941329,0.23567133392460426,0.1673024560681602,0.2337984055530371
4,0.24170861265180899,0.24434358008397372,0.23708276736987544,0.2235858626807814,0.2369770977332788,0.2207252622925362
0,0.23489726841528202,0.23663092751157233,0.24069387517884433,0.2801916486438627,0.2406176938036575,0.27852089008033454
1,0.244056368978444,0.23532202261592225,0.23149700522267413,0.27790268824620634,0.23016685151713656,0.27565567657359935
2,0.24820340664040752,0.23348330600252676,0.2318902754272496,0.2837993524910336,0.2235894053506805,0.28220944400295844
3,0.2470626174311734,0.23414229180890372,0.21161035915285353,0.2857316734313541,0.2060756483401276,0.2836755789471984
4,0.23570073806239383,0.23646481916348946,0.27443738061634504,0.27163719057369695,0.27443686732620076,0.270169843168778
0,0.23510482723165396,0.233465846485796,0.23942406975754138,0.29930749497033593,0.23927509727299,0.29769224697364605
1,0.2407329328378414,0.23303104026802984,0.2522341104326602,0.2918082373167785,0.2509904931907294,0.2896907608108895
2,0.24538581255514588,0.23101610117440097,0.2494566410525375,0.29910361806181185,0.24111690912906303,0.2972989993440742
3,0.24551879149929148,0.23144891673323595,0.22118928642073055,0.3015763889582821,0.21596667551402238,0.3000607747522671
4,0.23349527987107757,0.233819087189525,0.28796515387324684,0.28806660656405136,0.28795156918031606,0.28641016737535674
0,0.2342295859179666,0.23122504461839485,0.24514312259653281,0.3131079357160296,0.24492856281425746,0.3111090290586941
1,0.23851920180625777,0.23041735027692872,0.266710029873493,0.30844707674462235,0.2647026327641421,0.3055351451635272
2,0.24221802137987591,0.2289068143958209,0.2682331678456452,0.3119056505702831,0.26058393622647813,0.31007240636436606
3,0.24350290345295814,0.2291744323759657,0.23610904571450297,0.31586767341073896,0.22878878801427516,0.3137500019208177
4,0.23184873733618896,0.2311895965554869,0.297958912149737,0.30407692408282794,0.29795848879830544,0.30236974610230205
0,0.23180595126834566,0.2278609936067742,0.26077462270831964,0.33279409530221427,0.2604735628849941,0.33100831106107
1,0.23507467616670422,0.22663824422157794,0.2868890909270727,0.3298147417665812,0.28578657500701776,0.32812835963920894
2,0.23841683205713224,0.2261962566378422,0.2894406919202601,0.32760140956722394,0.2836095246974284,0.32631496726826503
3,0.23942274420917506,0.225805702219199,0.2596564428452529,0.3349472813543334,0.25441724333612104,0.3337766693929092
4,0.22901560717425118,0.22767163864904377,0.31526899578954026,0.3242616820586748,0.3150111812503271,0.3234395619848678
0,0.22876538501322838,0.22540307788943748,0.28051070585897275,0.347491899763511,0.2797468556386732,0.3453631733685836
1,0.23210083889042454,0.2241621000887397,0.30522632447603404,0.3446306751047933,0.3037427401228079,0.34272927474094206
2,0.23678616917016312,0.22323354674709806,0.299369865943497,0.3453535805819138,0.29337558358968463,0.3438471935768549
3,0.23694623713693735,0.22307680816631556,0.27458300325328977,0.35119592469101657,0.2697615791350223,0.34978217459563443
4,0.2276067184316516,0.2247812803802343,0.3235384584910027,0.3415594356661742,0.32341326803328896,0.3405087870464262
