,test_rmse,train_rmse,test_evs,train_evs,test_r2,train_r2
0,0.15655107869160934,0.10152039694836941,0.6627087249006411,0.8672422281105993,0.6626997449113297,0.8672032754620597
1,0.16112909075372303,0.09966323177434602,0.6648331095766185,0.8701377108241952,0.6644446023943282,0.8700758609232134
2,0.15644183115236449,0.10121004910373944,0.6915561096627835,0.8651423980380983,0.6915521421129405,0.8651244144959684
3,0.15814898021086268,0.10131755557351006,0.6746986798619032,0.8659157839539419,0.6746896818113892,0.8658720045408188
4,0.1622246853948136,0.09975823537945872,0.6580533520179324,0.8702184268004128,0.6562939288293737,0.8701068500619408
0,0.15648319089928667,0.10148581720551711,0.6630010315986794,0.8673335905873051,0.6629922194815394,0.8672937261429208
1,0.16106252598265586,0.09964036954724959,0.6651129821061408,0.8702007487788502,0.6647217907582608,0.8701354619300841
2,0.1564715348621597,0.10115276943258374,0.6914367839187207,0.8652995507205351,0.6914350006119512,0.8652770365547272
3,0.15807122808357035,0.10127314718267275,0.6750206861950308,0.8660353526248725,0.6750094733344123,0.8659895577730758
4,0.1621412303067543,0.09975815772642843,0.6584035520346619,0.8702200832928717,0.656647471106161,0.8701070522826947
0,0.15653416337927,0.10132534330468966,0.6627821855621842,0.8677530439035017,0.662772631421898,0.8677130764917236
1,0.1608753934950681,0.09959831091646405,0.6658855862133393,0.8703110524069221,0.6655004324253369,0.8702450715578408
2,0.1563720457959478,0.10106769455131631,0.6918276899620219,0.8655290098505661,0.691827264726718,0.8655035596702028
3,0.15802309964047287,0.10118434303401495,0.6752206830359265,0.8662721693532307,0.6752073449785239,0.8662244762256606
4,0.162042606802992,0.09968199751657793,0.6587961790938199,0.8704230797073307,0.6570650370858198,0.8703053097106244
0,0.15647786789571586,0.10131544318183125,0.6630236205214308,0.8677787099931019,0.6630151467122258,0.8677389257565122
1,0.1608673448998677,0.09958316453460563,0.6659330839087958,0.8703513767031472,0.6655339016117544,0.8702845334370349
2,0.15636319054621656,0.1010421675580731,0.6918629417566001,0.8655957724173264,0.6918621669913531,0.8655714914887774
3,0.158164992611921,0.10120019071269988,0.6746362952007146,0.866234137146718,0.674623803890724,0.8661825686048819
4,0.16213635990944228,0.09966866108415072,0.6583540812282648,0.8704597291532787,0.6566680980388038,0.8703400110370542
0,0.15652499544555246,0.10121945303847991,0.6628171353759459,0.8680343403036647,0.6628121319061249,0.8679894254800048
1,0.16089473748739505,0.09954144723054247,0.665826966371726,0.8704615789401557,0.6654199857399292,0.8703931912833701
2,0.1563171126130614,0.10100805455299107,0.6920445206595751,0.8656882152497469,0.6920437476101575,0.8656622454067096
3,0.15813065509178323,0.10115765175681725,0.6747759364599433,0.8663461465588038,0.674765066488955,0.8662950438358906
4,0.16215196662819098,0.09962598786105717,0.65827709929365,0.8705699049451245,0.656601998832927,0.8704510153405881
0,0.15650174743890624,0.10116048746533128,0.6629190745086955,0.8681863043603391,0.6629122866914121,0.8681431866719503
1,0.1609287065386762,0.09953123174511215,0.665691164758574,0.8704906312929657,0.6652786937921471,0.8704197918314851
2,0.1563554446869176,0.10093759864597422,0.6918929914271246,0.8658783199935145,0.6918926950609434,0.8658495886315221
3,0.15810166669393763,0.10109039462803096,0.6748957316251865,0.8665280499913596,0.6748842992268416,0.8664727787243857
4,0.16222462037253035,0.09958252580359463,0.6579970452205504,0.8706856923428982,0.6562942043552467,0.8705640227472868
0,0.15648911171849247,0.10114557490856799,0.6629738013870343,0.8682236997449009,0.662966716424285,0.8681820591078215
1,0.16093516864191088,0.099512271887845,0.6656608239081641,0.8705381748548517,0.665251811738474,0.8704691549953187
2,0.1563543256167038,0.10092406818525193,0.691897494910992,0.8659137662262612,0.6918971054282884,0.8658855513498759
3,0.15817248999905373,0.10106189031666842,0.6746023460787034,0.8666006582380524,0.6745929559883657,0.8665480690604096
4,0.16225963490823264,0.09957202397484931,0.6578467837429527,0.8707145723925491,0.6561458175369108,0.8705913215686404
0,0.15651862175768474,0.10106475409433653,0.6628448674713996,0.8684348088343261,0.6628395918841518,0.8683926343486402
1,0.16106789910556216,0.09946776722292319,0.665106396738498,0.8706562708357662,0.6646994203022609,0.8705849887044941
2,0.156407605551575,0.1008560589096945,0.6916871126937476,0.8660959472052501,0.6916870888645339,0.8660662407232758
3,0.15822616054964997,0.10099143687542708,0.6743792041168712,0.8667819114566044,0.6743720865026019,0.8667340713304681
